Gene,gene.description
AT5G59240,40S ribosomal protein S8-2 [Source:UniProtKB/Swiss-Prot;Acc:Q9FIF3]
AT3G47060,"ATP-dependent zinc metalloprotease FTSH 7, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q9SD67]"
AT5G07280,Leucine-rich repeat receptor protein kinase EMS1 [Source:UniProtKB/Swiss-Prot;Acc:Q9LYN8]
AT5G61350,Probable receptor-like protein kinase At5g61350 [Source:UniProtKB/Swiss-Prot;Acc:Q9FLJ8]
AT2G42160,zinc finger (ubiquitin-hydrolase) domain-containing protein [Source:TAIR;Acc:AT2G42160]
AT1G69440,Protein argonaute 7 [Source:UniProtKB/Swiss-Prot;Acc:Q9C793]
AT3G27070,Mitochondrial import receptor subunit TOM20-1 [Source:UniProtKB/Swiss-Prot;Acc:P82872]
AT3G62120,Class II aaRS and biotin synthetases superfamily protein [Source:TAIR;Acc:AT3G62120]
AT2G05220,40S ribosomal protein S17-2 [Source:UniProtKB/Swiss-Prot;Acc:Q9SJ36]
AT1G79550,phosphoglycerate kinase [Source:TAIR;Acc:AT1G79550]
AT1G61390,G-type lectin S-receptor-like serine/threonine-protein kinase At1g61390 [Source:UniProtKB/Swiss-Prot;Acc:O64781]
AT3G27420,unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT5G40600.1); Has 43 Blast hits to 43 proteins in 15 species: Archae - 0; Bacteria - 0; Metazoa - 3; Fungi - 0; Plants - 39; Viruses - 0; Other Eukaryotes - 1 (source /.../ BLink). [Source:TAIR;Acc:AT3G27420]
AT2G46450,Probable cyclic nucleotide-gated ion channel 12 [Source:UniProtKB/Swiss-Prot;Acc:Q8GWD2]
AT5G44920,Toll-Interleukin-Resistance (TIR) domain family protein [Source:TAIR;Acc:AT5G44920]
AT4G25740,40S ribosomal protein S10-1 [Source:UniProtKB/Swiss-Prot;Acc:Q9SW09]
AT5G05980,Folylpolyglutamate synthase [Source:UniProtKB/Swiss-Prot;Acc:F4K2A1]
AT5G03890,unknown protein; INVOLVED IN: N-terminal protein myristoylation; LOCATED IN: cellular_component unknown; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT3G10120.1); Has 1807 Blast hits to 1807 proteins in 277 species: Archae - 0; /.../ria - 0; Metazoa - 736; Fungi - 347; Plants - 385; Viruses - 0; Other Eukaryotes - 339 (source: NCBI BLink). [Source:TAIR;Acc:AT5G03890]
AT3G61270,Arabidopsis thaliana protein of unknown function (DUF821) [Source:TAIR;Acc:AT3G61270]
AT3G09780,Serine/threonine-protein kinase-like protein CCR1 [Source:UniProtKB/Swiss-Prot;Acc:Q9S7D9]
AT2G20340,Tyrosine decarboxylase 1 [Source:UniProtKB/Swiss-Prot;Acc:Q8RY79]
AT4G36648,other RNA [Source:TAIR;Acc:AT4G36648]
AT1G20090,Rac-like GTP-binding protein ARAC4 [Source:UniProtKB/Swiss-Prot;Acc:Q38919]
AT1G79700,AP2-like ethylene-responsive transcription factor At1g79700 [Source:UniProtKB/Swiss-Prot;Acc:A0JPZ8]
AT5G20165,unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: endomembrane system; CONTAINS InterPro DOMAIN/s: Protein of unknown function DUF1242 (InterPro:IPR009653); Has 35333 Blast hits to 34131  /.../ns in 2444 species: Archae - 798; Bacteria - 22429; Metazoa - 974; Fungi - 991; Plants - 531; Viruses - 0; Other Eukaryotes - 9610 (source: NCBI BLink). [Source:TAIR;Acc:AT5G20165]
AT5G02100,Oxysterol-binding protein-related protein 3A [Source:UniProtKB/Swiss-Prot;Acc:Q9LZM1]
AT2G03890,Phosphatidylinositol 4-kinase gamma 7 [Source:UniProtKB/Swiss-Prot;Acc:Q9SI52]
AT4G22217,Defensin-like protein 100 [Source:UniProtKB/Swiss-Prot;Acc:Q3E6U0]
AT5G58840,Subtilase family protein [Source:TAIR;Acc:AT5G58840]
AT5G52270,SNARE-like superfamily protein [Source:TAIR;Acc:AT5G52270]
AT2G43910,Thiocyanate methyltransferase 1 [Source:UniProtKB/Swiss-Prot;Acc:Q0WP12]
AT5G52880,F-box protein At5g52880 [Source:UniProtKB/Swiss-Prot;Acc:Q9FLX3]
AT2G19340,Oligosaccharyltransferase complex/magnesium transporter family protein [Source:TAIR;Acc:AT2G19340]
AT2G46240,BAG family molecular chaperone regulator 6 [Source:UniProtKB/Swiss-Prot;Acc:O82345]
AT2G42500,Serine/threonine-protein phosphatase PP2A-4 catalytic subunit [Source:UniProtKB/Swiss-Prot;Acc:Q07100]
AT1G15920,Probable CCR4-associated factor 1 homolog 2 [Source:UniProtKB/Swiss-Prot;Acc:Q9S9P2]
AT3G09090,Protein DEFECTIVE IN EXINE FORMATION 1 [Source:UniProtKB/Swiss-Prot;Acc:F4IYM4]
AT1G48750,Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein [Source:TAIR;Acc:AT1G48750]
AT5G65925,unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT3G49820.1); Has 45 Blast hits to 45 proteins in 6 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 45; Viruses - 0; Other Eukaryotes - 0 (source: /.../BLink). [Source:TAIR;Acc:AT5G65925]
AT3G20100,"cytochrome P450, family 705, subfamily A, polypeptide 19 [Source:TAIR;Acc:AT3G20100]"
AT1G06070,Basic-leucine zipper (bZIP) transcription factor family protein [Source:TAIR;Acc:AT1G06070]
AT5G52510,Scarecrow-like protein 8 [Source:UniProtKB/Swiss-Prot;Acc:Q9FYR7]
AT5G45190,Cyclin-T1-5 [Source:UniProtKB/Swiss-Prot;Acc:Q9FKE6]
AT5G56760,Serine acetyltransferase 5 [Source:UniProtKB/Swiss-Prot;Acc:Q42538]
AT1G13020,eukaryotic initiation factor 4B2 [Source:TAIR;Acc:AT1G13020]
AT3G46000,Actin-depolymerizing factor 2 [Source:UniProtKB/Swiss-Prot;Acc:Q39251]
AT1G53070,Lectin-like protein At1g53070 [Source:UniProtKB/Swiss-Prot;Acc:Q9LNN2]
AT3G27030,unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: endomembrane system; CONTAINS InterPro DOMAIN/s: Protein of unknown function DUF3339 (InterPro:IPR021775); BEST Arabidopsis thaliana prot /.../tch is: Protein of unknown function (DUF 3339) (TAIR:AT5G40970.1); Has 538 Blast hits to 271 proteins in 16 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 534; Viruses - 4; Other Eukaryotes - 0 (source: NCBI BLink). [Source:TAIR;Acc:AT3G27030]
AT3G19515,CONTAINS InterPro DOMAIN/s: Apoptosis inhibitory 5 (InterPro:IPR008383); BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT1G23935.1); Has 546 Blast hits to 394 proteins in 84 species: Archae - 0; Bacteria - 3; Metazoa - 210; Fungi /.../ Plants - 143; Viruses - 0; Other Eukaryotes - 175 (source: NCBI BLink). [Source:TAIR;Acc:AT3G19515]
AT3G44380,Late embryogenesis abundant (LEA) hydroxyproline-rich glycoprotein family [Source:TAIR;Acc:AT3G44380]
AT5G60190,NEDD8-specific protease 1 [Source:UniProtKB/Swiss-Prot;Acc:Q9LSS7]
AT4G25830,CASP-like protein 2C1 [Source:UniProtKB/Swiss-Prot;Acc:Q8L8U9]
AT2G40600,appr-1-p processing enzyme family protein [Source:TAIR;Acc:AT2G40600]
AT4G18590,Replication protein A 14 kDa subunit B [Source:UniProtKB/Swiss-Prot;Acc:Q6NLG7]
AT1G17820,Putative integral membrane protein conserved region (DUF2404) [Source:TAIR;Acc:AT1G17820]
AT1G68670,myb-like transcription factor family protein [Source:TAIR;Acc:AT1G68670]
AT3G60130,Beta-glucosidase 16 [Source:UniProtKB/Swiss-Prot;Acc:Q9M1D0]
AT4G16845,Polycomb group protein VERNALIZATION 2 [Source:UniProtKB/Swiss-Prot;Acc:Q8W5B1]
AT2G30370,EPIDERMAL PATTERNING FACTOR-like protein 6 [Source:UniProtKB/Swiss-Prot;Acc:Q1PEY6]
AT4G13290,Cytochrome P450 71A19 [Source:UniProtKB/Swiss-Prot;Acc:Q9T0K0]
AT5G46340,O-acetyltransferase family protein [Source:TAIR;Acc:AT5G46340]
AT2G15400,DNA-directed RNA polymerases IV and V subunit 3B [Source:UniProtKB/Swiss-Prot;Acc:Q39212]
AT3G53390,Transducin/WD40 repeat-like superfamily protein [Source:TAIR;Acc:AT3G53390]
AT5G02820,DNA topoisomerase 6 subunit A [Source:UniProtKB/Swiss-Prot;Acc:Q9LZ03]
AT4G38660,Pathogenesis-related thaumatin superfamily protein [Source:TAIR;Acc:AT4G38660]
AT5G18661,unknown protein; Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink). [Source:TAIR;Acc:AT5G18661]
AT1G79750,"NADP-dependent malic enzyme 4, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q9CA83]"
AT2G39725,LYR family of Fe/S cluster biogenesis protein [Source:TAIR;Acc:AT2G39725]
AT1G20370,Pseudouridine synthase family protein [Source:TAIR;Acc:AT1G20370]
AT1G71695,Peroxidase 12 [Source:UniProtKB/Swiss-Prot;Acc:Q96520]
AT3G02875,IAA-amino acid hydrolase ILR1 [Source:UniProtKB/Swiss-Prot;Acc:P54968]
AT2G26540,"Uroporphyrinogen-III synthase, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:O48721]"
AT5G09585,U2.5; snRNA [Source:TAIR;Acc:AT5G09585]
AT4G00490,"Beta-amylase 2, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:O65258]"
AT2G26430,Cyclin-L1-1 [Source:UniProtKB/Swiss-Prot;Acc:Q8RWV3]
AT5G41520,40S ribosomal protein S10-2 [Source:UniProtKB/Swiss-Prot;Acc:Q9FFS8]
AT2G35340,helicase domain-containing protein [Source:TAIR;Acc:AT2G35340]
AT1G20580,Small nuclear ribonucleoprotein SmD3b [Source:UniProtKB/Swiss-Prot;Acc:Q9LM92]
AT3G02170,Protein LONGIFOLIA 2 [Source:UniProtKB/Swiss-Prot;Acc:Q9S823]
AT1G72520,"Lipoxygenase 4, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q9FNX8]"
AT5G19790,Ethylene-responsive transcription factor RAP2-11 [Source:UniProtKB/Swiss-Prot;Acc:Q6J9S1]
AT4G04695,Calcium-dependent protein kinase 31 [Source:UniProtKB/Swiss-Prot;Acc:Q9S9V0]
AT3G55130,ABC transporter G family member 19 [Source:UniProtKB/Swiss-Prot;Acc:Q9M3D6]
AT4G11420,Eukaryotic translation initiation factor 3 subunit A [Source:UniProtKB/Swiss-Prot;Acc:Q9LD55]
AT1G48650,DEA(D/H)-box RNA helicase family protein [Source:TAIR;Acc:AT1G48650]
AT3G24350,Syntaxin-32 [Source:UniProtKB/Swiss-Prot;Acc:Q9LK09]
AT2G28840,Putative E3 ubiquitin-protein ligase XBAT31 [Source:UniProtKB/Swiss-Prot;Acc:Q94B55]
AT5G42770,Maf-like protein [Source:TAIR;Acc:AT5G42770]
AT2G35270,AT-hook motif nuclear-localized protein 21 [Source:UniProtKB/Swiss-Prot;Acc:O82166]
AT2G02510,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 3-A [Source:UniProtKB/Swiss-Prot;Acc:O64725]
AT3G05910,Pectin acetylesterase 12 [Source:UniProtKB/Swiss-Prot;Acc:Q9SFF6]
AT5G12030,17.7 kDa class II heat shock protein [Source:UniProtKB/Swiss-Prot;Acc:O81822]
AT2G26780,ARM repeat superfamily protein [Source:TAIR;Acc:AT2G26780]
AT5G06460,Ubiquitin-activating enzyme E1 2 [Source:UniProtKB/Swiss-Prot;Acc:P92974]
AT5G04220,Synaptotagmin-3 [Source:UniProtKB/Swiss-Prot;Acc:Q7XA06]
AT5G51790,Transcription factor bHLH120 [Source:UniProtKB/Swiss-Prot;Acc:Q9FLI0]
AT2G15530,E3 ubiquitin-protein ligase MBR1 [Source:UniProtKB/Swiss-Prot;Acc:Q9ZQF9]
AT1G26420,FAD-binding Berberine family protein [Source:TAIR;Acc:AT1G26420]
AT2G35738,other RNA [Source:TAIR;Acc:AT2G35738]
AT5G42840,Cysteine/Histidine-rich C1 domain family protein [Source:TAIR;Acc:AT5G42840]
AT1G16870,mitochondrial 28S ribosomal protein S29-related [Source:TAIR;Acc:AT1G16870]
AT3G53540,unknown protein; LOCATED IN: plasma membrane; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 14 growth stages; CONTAINS InterPro DOMAIN/s: Protein of unknown function DUF3741 (InterPro:IPR022212); BEST Arabidopsis thaliana protein match is: Pr /.../of unknown function (DUF3741) (TAIR:AT4G28760.2); Has 1710 Blast hits to 868 proteins in 206 species: Archae - 2; Bacteria - 409; Metazoa - 304; Fungi - 204; Plants - 304; Viruses - 2; Other Eukaryotes - 485 (source: NCBI BLink). [Source:TAIR;Acc:AT3G53540]
AT1G80870,Putative receptor-like protein kinase At1g80870 [Source:UniProtKB/Swiss-Prot;Acc:Q9SAH3]
AT3G50970,Dehydrin Xero 2 [Source:UniProtKB/Swiss-Prot;Acc:P42758]
AT5G11430,SPOC domain / Transcription elongation factor S-II protein [Source:TAIR;Acc:AT5G11430]
AT5G67560,ADP-ribosylation factor-like A1D [Source:TAIR;Acc:AT5G67560]
AT4G36870,BEL1-like homeodomain protein 2 [Source:UniProtKB/Swiss-Prot;Acc:Q9SW80]
AT4G18280,glycine-rich cell wall protein-related [Source:TAIR;Acc:AT4G18280]
AT1G52240,RHO guanyl-nucleotide exchange factor 11 [Source:TAIR;Acc:AT1G52240]
AT4G25350,Phosphate transporter PHO1 homolog 4 [Source:UniProtKB/Swiss-Prot;Acc:Q6R8G6]
AT5G25475,B3 domain-containing protein At5g25475 [Source:UniProtKB/Swiss-Prot;Acc:Q680D9]
AT3G60310,unknown protein; Has 22 Blast hits to 18 proteins in 9 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 22; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink). [Source:TAIR;Acc:AT3G60310]
AT1G21340,Dof zinc finger protein DOF1.2 [Source:UniProtKB/Swiss-Prot;Acc:P68349]
AT5G42250,Alcohol dehydrogenase-like 7 [Source:UniProtKB/Swiss-Prot;Acc:Q9FH04]
AT5G03680,Trihelix transcription factor PTL [Source:UniProtKB/Swiss-Prot;Acc:Q9LZS0]
AT5G13800,"Pheophytinase, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q9FFZ1]"
AT3G13920,Eukaryotic initiation factor 4A-1 [Source:UniProtKB/Swiss-Prot;Acc:P41376]
AT4G02050,Sugar transport protein 7 [Source:UniProtKB/Swiss-Prot;Acc:O04249]
AT2G40300,"Ferritin-4, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q9S756]"
AT5G64460,Phosphoglycerate mutase-like protein 1 [Source:UniProtKB/Swiss-Prot;Acc:Q9FGF0]
AT1G68650,GDT1-like protein 5 [Source:UniProtKB/Swiss-Prot;Acc:Q9SX28]
AT1G19600,pfkB-like carbohydrate kinase family protein [Source:TAIR;Acc:AT1G19600]
AT4G13020,Serine/threonine-protein kinase MHK [Source:UniProtKB/Swiss-Prot;Acc:P43294]
AT2G29450,Glutathione S-transferase U5 [Source:UniProtKB/Swiss-Prot;Acc:P46421]
AT3G01040,Probable galacturonosyltransferase 13 [Source:UniProtKB/Swiss-Prot;Acc:Q0WV13]
AT1G07930,Elongation factor 1-alpha 2 [Source:UniProtKB/Swiss-Prot;Acc:Q8W4H7]
AT5G66120,"3-dehydroquinate synthase, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q8VYV7]"
AT2G18650,Putative RING-H2 finger protein ATL49 [Source:UniProtKB/Swiss-Prot;Acc:Q9ZV53]
AT4G29735,unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: endomembrane system; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 15 growth stages; CONTAINS InterPro DOMAIN/s: Uncharacterised p /.../ family UPF0197 (InterPro:IPR007915); Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink). [Source:TAIR;Acc:AT4G29735]
AT1G65032,unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: cellular_component unknown; Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - /.../ Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink). [Source:TAIR;Acc:AT1G65032]
AT4G23500,Pectin lyase-like superfamily protein [Source:TAIR;Acc:AT4G23500]
AT2G02180,Tobamovirus multiplication protein 3 [Source:UniProtKB/Swiss-Prot;Acc:Q9ZUM2]
AT5G62575,"Succinate dehydrogenase subunit 7B, mitochondrial [Source:UniProtKB/Swiss-Prot;Acc:Q3E870]"
AT3G63210,Protein of unknown function (DUF581) [Source:TAIR;Acc:AT3G63210]
AT1G07870,Probable serine/threonine-protein kinase RLCKVII [Source:UniProtKB/Swiss-Prot;Acc:Q9LQQ8]
AT2G15910,CSL zinc finger domain-containing protein [Source:TAIR;Acc:AT2G15910]
AT1G06440,Ubiquitin carboxyl-terminal hydrolase family protein [Source:TAIR;Acc:AT1G06440]
AT3G02030,"transferases, transferring acyl groups other than amino-acyl groups;acyltransferases [Source:TAIR;Acc:AT3G02030]"
AT3G13720,PRA1 family protein F3 [Source:UniProtKB/Swiss-Prot;Acc:Q9LIC6]
AT5G22500,Fatty acyl-CoA reductase 1 [Source:UniProtKB/Swiss-Prot;Acc:Q39152]
AT2G17430,MLO-like protein 7 [Source:UniProtKB/Swiss-Prot;Acc:O22752]
AT1G13090,Cytochrome P450 71B28 [Source:UniProtKB/Swiss-Prot;Acc:Q9SAE3]
AT1G75410,BEL1-like homeodomain protein 3 [Source:UniProtKB/Swiss-Prot;Acc:Q9FWS9]
AT4G03430,Protein STABILIZED1 [Source:UniProtKB/Swiss-Prot;Acc:Q9ZT71]
AT1G27450,"Adenine phosphoribosyltransferase 1, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:P31166]"
AT1G72920,Toll-Interleukin-Resistance (TIR) domain family protein [Source:TAIR;Acc:AT1G72920]
AT4G13940,Adenosylhomocysteinase 1 [Source:UniProtKB/Swiss-Prot;Acc:O23255]
AT3G03920,Putative H/ACA ribonucleoprotein complex subunit 1-like protein 1 [Source:UniProtKB/Swiss-Prot;Acc:Q8VZT0]
AT2G41960,unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT3G58050.1); Has 11991 Blast hits to 7260 proteins in 458 species: Archae - 17; Bacteria - 481; Metazoa - 5028; Fungi - 1325; Plants - 615; Viruses - 38; Other Eukar /.../- 4487 (source: NCBI BLink). [Source:TAIR;Acc:AT2G41960]
AT4G34870,Peptidyl-prolyl cis-trans isomerase CYP18-4 [Source:UniProtKB/Swiss-Prot;Acc:Q42406]
AT3G51610,unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: response to oxidative stress; LOCATED IN: endomembrane system; EXPRESSED IN: 25 plant structures; EXPRESSED DURING: 15 growth stages; Has 53 Blast hits to 53 proteins in 21 spec /.../rchae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 48; Viruses - 0; Other Eukaryotes - 5 (source: NCBI BLink). [Source:TAIR;Acc:AT3G51610]
AT3G51580,unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: endomembrane system; EXPRESSED IN: 25 plant structures; EXPRESSED DURING: 15 growth stages; Has 1768 Blast hits to 1607 proteins in 294 s /.../: Archae - 2; Bacteria - 552; Metazoa - 381; Fungi - 236; Plants - 306; Viruses - 38; Other Eukaryotes - 253 (source: NCBI BLink). [Source:TAIR;Acc:AT3G51580]
AT1G02205,Protein ECERIFERUM 1 [Source:UniProtKB/Swiss-Prot;Acc:F4HVY0]
AT1G11670,MATE efflux family protein [Source:TAIR;Acc:AT1G11670]
AT3G21700,Ras-related small GTP-binding family protein [Source:TAIR;Acc:AT3G21700]
AT5G06860,Polygalacturonase inhibitor 1 [Source:UniProtKB/Swiss-Prot;Acc:Q9M5J9]
AT3G55530,E3 ubiquitin-protein ligase SDIR1 [Source:UniProtKB/Swiss-Prot;Acc:Q9M2S6]
AT2G33385,Actin-related protein 2/3 complex subunit 2B [Source:UniProtKB/Swiss-Prot;Acc:F4IVU1]
AT2G18390,ADP-ribosylation factor-like protein 2 [Source:UniProtKB/Swiss-Prot;Acc:Q9ZPX1]
AT3G23300,Probable methyltransferase PMT1 [Source:UniProtKB/Swiss-Prot;Acc:Q8H118]
AT5G19800,hydroxyproline-rich glycoprotein family protein [Source:TAIR;Acc:AT5G19800]
AT2G34780,maternal effect embryo arrest 22 [Source:TAIR;Acc:AT2G34780]
AT3G24050,GATA transcription factor 1 [Source:UniProtKB/Swiss-Prot;Acc:Q8LAU9]
AT1G15310,Signal recognition particle 54 kDa protein 1 [Source:UniProtKB/Swiss-Prot;Acc:P37106]
AT1G11530,Thioredoxin-like protein CXXS1 [Source:UniProtKB/Swiss-Prot;Acc:Q8LDI5]
AT5G06340,"Nudix hydrolase 27, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q9FNH4]"
AT1G66270,Beta-glucosidase 21 [Source:UniProtKB/Swiss-Prot;Acc:Q9C525]
AT4G22150,plant UBX domain-containing protein 3 [Source:TAIR;Acc:AT4G22150]
AT1G08340,Rho GTPase-activating protein 5 [Source:UniProtKB/Swiss-Prot;Acc:Q6NKT5]
AT2G16600,Peptidyl-prolyl cis-trans isomerase CYP19-1 [Source:UniProtKB/Swiss-Prot;Acc:Q38900]
AT3G10820,Probable mediator of RNA polymerase II transcription subunit 26a [Source:UniProtKB/Swiss-Prot;Acc:F4J4Y5]
AT2G36480,ENTH/VHS family protein [Source:TAIR;Acc:AT2G36480]
AT4G30100,P-loop containing nucleoside triphosphate hydrolases superfamily protein [Source:TAIR;Acc:AT4G30100]
AT5G60270,L-type lectin-domain containing receptor kinase I.7 [Source:UniProtKB/Swiss-Prot;Acc:Q9LSS0]
AT5G47210,Hyaluronan / mRNA binding family [Source:TAIR;Acc:AT5G47210]
AT4G10320,"tRNA synthetase class I (I, L, M and V) family protein [Source:TAIR;Acc:AT4G10320]"
AT3G12210,DNA binding [Source:TAIR;Acc:AT3G12210]
AT5G54700,Ankyrin repeat family protein [Source:TAIR;Acc:AT5G54700]
AT2G25450,Probable 2-oxoacid dependent dioxygenase [Source:UniProtKB/Swiss-Prot;Acc:Q9SKK4]
AT1G47620,"cytochrome P450, family 96, subfamily A, polypeptide 8 [Source:TAIR;Acc:AT1G47620]"
AT3G47790,ABC transporter A family member 8 [Source:UniProtKB/Swiss-Prot;Acc:Q8LPK0]
AT5G18310,unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: plasma membrane; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; Has 60 Blast hits to 60 proteins in 14 species: A /.../- 0; Bacteria - 0; Metazoa - 7; Fungi - 0; Plants - 53; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink). [Source:TAIR;Acc:AT5G18310]
AT2G24980,Proline-rich extensin-like family protein [Source:TAIR;Acc:AT2G24980]
AT4G35770,"Rhodanese-like domain-containing protein 15, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q38853]"
AT5G18460,Protein of Unknown Function (DUF239) [Source:TAIR;Acc:AT5G18460]
AT5G47050,SBP (S-ribonuclease binding protein) family protein [Source:TAIR;Acc:AT5G47050]
AT2G41800,"Protein of unknown function, DUF642 [Source:TAIR;Acc:AT2G41800]"
AT4G14070,"Long-chain-fatty-acid--[acyl-carrier-protein] ligase AEE15, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q8W471]"
AT3G02460,Ypt/Rab-GAP domain of gyp1p superfamily protein [Source:TAIR;Acc:AT3G02460]
AT2G22660,Glycine-rich domain-containing protein 1 [Source:UniProtKB/Swiss-Prot;Acc:Q9ZQ47]
AT5G33320,"Phosphoenolpyruvate/phosphate translocator 1, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q8RXN3]"
AT5G03330,Cysteine proteinases superfamily protein [Source:TAIR;Acc:AT5G03330]
AT5G27720,Sm-like protein LSM4 [Source:UniProtKB/Swiss-Prot;Acc:F4K4E3]
AT4G24050,NAD(P)-binding Rossmann-fold superfamily protein [Source:TAIR;Acc:AT4G24050]
AT1G50670,OTU-like cysteine protease family protein [Source:TAIR;Acc:AT1G50670]
AT4G04020,"Probable plastid-lipid-associated protein 1, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:O81439]"
